,Content,retweets,comments,likes,sentiment,
Tweet 1 ,1,"10,700","9,230",75100,3,
Tweet 2,1,8583,4670,73900,3,
Tweet 3,4,33300,26500,271000,1,
Tweet 4,1,"12,200",5600,118000,3,
Tweet 5,1,30600,11300,280000,3,
Tweet 6,3,19300,9300,146000,1,
Tweet 7,1,17200,11800,183000,2,
Tweet 8,1,14900,7000,204000,3,
Tweet 9,2,8700,6000,68200,2,
Tweet 10,1,3600,1800,25500,3,(golden gate fens)
Tweet 11,4,53000,24400,605000,1,
Tweet 12,1,21600,6000,174000,2,
Tweet 13,1,38800,13100,498000,3,
Tweet 14,4,40500,31800,462000,2,(heart emoji)
Tweet 15 ,1,26800,10900,284000,3,
Tweet 16,1,8900,4600,94600,2,
Tweet 17,4,9200,4500,73100,2,
Tweet 18,2,14000,6400,116000,2,
Tweet 19,4,39100,13700,316000,1,
Tweet 20,1,25300,7300,178000,3,
Tweet 21,3,101000,35300,310000,1,
Tweet 22,1,109000,21500,596000,2,
Tweet 23,1,27600,7300,185000,3,
Tweet 24,4,35900,11000,386000,2,
Tweet 25,4,54000,16600,557000,2,
Tweet 26,1,18500,10100,291000,2,
Tweet 27,2,55700,22900,258000,1,
Tweet 28,4,21500,9700,250000,2,
Tweet 29,3,51900,12000,205000,1,
Tweet 30,3,74700,23500,287000,1,
